From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
ENSG00000010282	Q9HCP6	reviewed	HHATL_HUMAN	Protein-cysteine N-palmitoyltransferase HHAT-like protein (Glycerol uptake/transporter homolog) (Hedgehog acyltransferase-like protein)	HHATL C3orf3 GUP1 KIAA1173	Homo sapiens (Human)	504
ENSG00000010282	C9JEF1	unreviewed	C9JEF1_HUMAN	Hedgehog acyltransferase like	HHATL	Homo sapiens (Human)	203
ENSG00000010282	C9JHL0	unreviewed	C9JHL0_HUMAN	Hedgehog acyltransferase like	HHATL	Homo sapiens (Human)	231
ENSG00000010282	C9JJ25	unreviewed	C9JJ25_HUMAN	Hedgehog acyltransferase like	HHATL	Homo sapiens (Human)	261
ENSG00000010282	C9JKQ1	unreviewed	C9JKQ1_HUMAN	Hedgehog acyltransferase like	HHATL	Homo sapiens (Human)	116
ENSG00000010282	C9JL39	unreviewed	C9JL39_HUMAN	Hedgehog acyltransferase like	HHATL	Homo sapiens (Human)	117
ENSG00000010282	H7C1Q3	unreviewed	H7C1Q3_HUMAN	Hedgehog acyltransferase like	HHATL	Homo sapiens (Human)	124
ENSG00000010438	P35030	reviewed	TRY3_HUMAN	Trypsin-3 (EC 3.4.21.4) (Brain trypsinogen) (Mesotrypsin) (Mesotrypsinogen) (Serine protease 3) (Serine protease 4) (Trypsin III) (Trypsin IV)	PRSS3 PRSS4 TRY3 TRY4	Homo sapiens (Human)	304
ENSG00000010438	A0A7P0MNE9	unreviewed	A0A7P0MNE9_HUMAN	Serine protease 3	PRSS3	Homo sapiens (Human)	259
ENSG00000010438	A0A7P0MP65	unreviewed	A0A7P0MP65_HUMAN	Serine protease 3	PRSS3	Homo sapiens (Human)	139
ENSG00000011201	P23352	reviewed	KALM_HUMAN	Anosmin-1 (Adhesion molecule-like X-linked) (Kallmann syndrome protein)	ANOS1 ADMLX KAL KAL1 KALIG1	Homo sapiens (Human)	680
ENSG00000012124	P20273	reviewed	CD22_HUMAN	B-cell receptor CD22 (B-lymphocyte cell adhesion molecule) (BL-CAM) (Sialic acid-binding Ig-like lectin 2) (Siglec-2) (T-cell surface antigen Leu-14) (CD antigen CD22)	CD22 SIGLEC2	Homo sapiens (Human)	847
ENSG00000012124	A0A087WZQ4	unreviewed	A0A087WZQ4_HUMAN	CD22 molecule	CD22	Homo sapiens (Human)	153
ENSG00000012124	M0QY05	unreviewed	M0QY05_HUMAN	CD22 molecule	CD22	Homo sapiens (Human)	144
ENSG00000012124	M0QY14	unreviewed	M0QY14_HUMAN	CD22 molecule	CD22	Homo sapiens (Human)	164
ENSG00000012124	M0QYP4	unreviewed	M0QYP4_HUMAN	CD22 molecule	CD22	Homo sapiens (Human)	106
ENSG00000012124	M0QZ01	unreviewed	M0QZ01_HUMAN	CD22 molecule	CD22	Homo sapiens (Human)	191
ENSG00000012124	M0QZP5	unreviewed	M0QZP5_HUMAN	CD22 molecule	CD22	Homo sapiens (Human)	38
ENSG00000012124	M0QZR7	unreviewed	M0QZR7_HUMAN	CD22 molecule	CD22	Homo sapiens (Human)	148
ENSG00000012124	M0R0R6	unreviewed	M0R0R6_HUMAN	CD22 molecule	CD22	Homo sapiens (Human)	158
ENSG00000012124	M0R1M2	unreviewed	M0R1M2_HUMAN	CD22 molecule	CD22	Homo sapiens (Human)	225
ENSG00000012124	M0R2M0	unreviewed	M0R2M0_HUMAN	CD22 molecule	CD22	Homo sapiens (Human)	133
ENSG00000012124	M0R2R8	unreviewed	M0R2R8_HUMAN	CD22 molecule	CD22	Homo sapiens (Human)	137
ENSG00000012124	M0R3H1	unreviewed	M0R3H1_HUMAN	CD22 molecule	CD22	Homo sapiens (Human)	145
ENSG00000013293	Q8TBB6	reviewed	S7A14_HUMAN	Solute carrier family 7 member 14 (Gamma-aminobutyric acid transporter SLC7A14)	SLC7A14 KIAA1613	Homo sapiens (Human)	771
ENSG00000013523	Q9UNK9	reviewed	ANGE1_HUMAN	Protein angel homolog 1	ANGEL1 KIAA0759	Homo sapiens (Human)	670
ENSG00000013523	A0A3B3IU54	unreviewed	A0A3B3IU54_HUMAN	Angel homolog 1	ANGEL1	Homo sapiens (Human)	131
ENSG00000013523	G3V414	unreviewed	G3V414_HUMAN	Angel homolog 1	ANGEL1	Homo sapiens (Human)	235
ENSG00000013523	G3V437	unreviewed	G3V437_HUMAN	Angel homolog 1	ANGEL1	Homo sapiens (Human)	129
ENSG00000013523	G3V5C4	unreviewed	G3V5C4_HUMAN	Angel homolog 1	ANGEL1	Homo sapiens (Human)	67
ENSG00000013563	P49184	reviewed	DNSL1_HUMAN	Deoxyribonuclease-1-like 1 (EC 3.1.21.-) (DNase X) (Deoxyribonuclease I-like 1) (DNase I-like 1) (Muscle-specific DNase I-like) (XIB)	DNASE1L1 DNAS1L1 DNL1L	Homo sapiens (Human)	302
ENSG00000013563	A3KQT1	unreviewed	A3KQT1_HUMAN	Deoxyribonuclease 1 like 1	DNASE1L1	Homo sapiens (Human)	26
ENSG00000013563	A6QRJ0	unreviewed	A6QRJ0_HUMAN	Deoxyribonuclease-1-like 1 (DNase X) (Deoxyribonuclease I-like 1)	DNASE1L1	Homo sapiens (Human)	208
ENSG00000013563	E7ESG1	unreviewed	E7ESG1_HUMAN	Deoxyribonuclease 1 like 1	DNASE1L1	Homo sapiens (Human)	62
ENSG00000013563	E7EUJ0	unreviewed	E7EUJ0_HUMAN	Deoxyribonuclease 1 like 1	DNASE1L1	Homo sapiens (Human)	85
ENSG00000013563	Q5HY40	unreviewed	Q5HY40_HUMAN	Deoxyribonuclease 1 like 1	DNASE1L1	Homo sapiens (Human)	103
ENSG00000014257	P15309	reviewed	PPAP_HUMAN	Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Acid phosphatase 3) (Ecto-5'-nucleotidase) (Protein tyrosine phosphatase ACP3) (EC 3.1.3.48) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39]	ACP3 ACPP	Homo sapiens (Human)	386
ENSG00000014257	E9PFE6	unreviewed	E9PFE6_HUMAN	acid phosphatase (EC 3.1.3.2)	ACP3	Homo sapiens (Human)	165
ENSG00000014257	H0Y8T3	unreviewed	H0Y8T3_HUMAN	Acid phosphatase 3	ACP3	Homo sapiens (Human)	99
ENSG00000016490	A8K7I4	reviewed	CLCA1_HUMAN	Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1)	CLCA1 CACC1	Homo sapiens (Human)	914
ENSG00000020129	Q9UBB6	reviewed	NCDN_HUMAN	Neurochondrin	NCDN KIAA0607	Homo sapiens (Human)	729
ENSG00000020129	C9J5H8	unreviewed	C9J5H8_HUMAN	Neurochondrin	NCDN	Homo sapiens (Human)	244
ENSG00000020129	H7C2R2	unreviewed	H7C2R2_HUMAN	Neurochondrin	NCDN	Homo sapiens (Human)	193
ENSG00000021645	Q9HDB5	reviewed	NRX3B_HUMAN	Neurexin-3-beta (Neurexin III-beta) [Cleaved into: Neurexin-3-beta, soluble form; Neurexin-3-beta, C-terminal fragment (NRXN3-CTF)]	NRXN3 KIAA0743	Homo sapiens (Human)	637
ENSG00000021645	Q9Y4C0	reviewed	NRX3A_HUMAN	Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha)	NRXN3 C14orf60 KIAA0743	Homo sapiens (Human)	1643
ENSG00000021645	A0A0A0MR89	unreviewed	A0A0A0MR89_HUMAN	Neurexin 3	NRXN3	Homo sapiens (Human)	1571
ENSG00000021645	A0A0C4DGK4	unreviewed	A0A0C4DGK4_HUMAN	Neurexin 3	NRXN3	Homo sapiens (Human)	398
ENSG00000021645	A0A0U1RQC5	unreviewed	A0A0U1RQC5_HUMAN	Neurexin 3	NRXN3	Homo sapiens (Human)	1468
ENSG00000021645	A0A0U1RRJ0	unreviewed	A0A0U1RRJ0_HUMAN	Neurexin 3	NRXN3	Homo sapiens (Human)	1328
ENSG00000021645	A0A7I2V2B1	unreviewed	A0A7I2V2B1_HUMAN	Neurexin 3	NRXN3	Homo sapiens (Human)	670
ENSG00000021645	A0A7I2YQT0	unreviewed	A0A7I2YQT0_HUMAN	Neurexin 3	NRXN3	Homo sapiens (Human)	366
ENSG00000021645	G3V247	unreviewed	G3V247_HUMAN	Neurexin 3	NRXN3	Homo sapiens (Human)	119
ENSG00000021645	G3V4R9	unreviewed	G3V4R9_HUMAN	Neurexin 3	NRXN3	Homo sapiens (Human)	75
ENSG00000021645	H0YJL2	unreviewed	H0YJL2_HUMAN	Neurexin 3	NRXN3	Homo sapiens (Human)	174
ENSG00000022355	P14867	reviewed	GBRA1_HUMAN	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1)	GABRA1	Homo sapiens (Human)	456
ENSG00000022355	A0A0U1RQJ3	unreviewed	A0A0U1RQJ3_HUMAN	Gamma-aminobutyric acid type A receptor subunit alpha1	GABRA1	Homo sapiens (Human)	35
ENSG00000022355	A0A0U1RRB2	unreviewed	A0A0U1RRB2_HUMAN	Gamma-aminobutyric acid type A receptor subunit alpha1	GABRA1	Homo sapiens (Human)	285
ENSG00000022355	A0A1B0GU82	unreviewed	A0A1B0GU82_HUMAN	Gamma-aminobutyric acid type A receptor subunit alpha1	GABRA1	Homo sapiens (Human)	70
ENSG00000022355	A0A1B0GV38	unreviewed	A0A1B0GV38_HUMAN	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1)	GABRA1	Homo sapiens (Human)	471
ENSG00000022355	A0A1B0GVW9	unreviewed	A0A1B0GVW9_HUMAN	Gamma-aminobutyric acid type A receptor subunit alpha1	GABRA1	Homo sapiens (Human)	94
ENSG00000022355	E5RHL6	unreviewed	E5RHL6_HUMAN	Gamma-aminobutyric acid type A receptor subunit alpha1	GABRA1	Homo sapiens (Human)	85
ENSG00000022355	E5RJS3	unreviewed	E5RJS3_HUMAN	Gamma-aminobutyric acid type A receptor subunit alpha1	GABRA1	Homo sapiens (Human)	113
ENSG00000022355	E5RK60	unreviewed	E5RK60_HUMAN	Gamma-aminobutyric acid type A receptor subunit alpha1	GABRA1	Homo sapiens (Human)	168
ENSG00000023330	P13196	reviewed	HEM1_HUMAN	5-aminolevulinate synthase, non-specific, mitochondrial (ALAS-H) (EC 2.3.1.37) (5-aminolevulinic acid synthase 1) (Delta-ALA synthase 1) (Delta-aminolevulinate synthase 1)	ALAS1 ALAS3 ALASH OK/SW-cl.121	Homo sapiens (Human)	640
ENSG00000023330	H7C4H7	unreviewed	H7C4H7_HUMAN	5'-aminolevulinate synthase 1	ALAS1	Homo sapiens (Human)	237
ENSG00000023330	H7C5B0	unreviewed	H7C5B0_HUMAN	5'-aminolevulinate synthase 1	ALAS1	Homo sapiens (Human)	117
ENSG00000023839	Q92887	reviewed	MRP2_HUMAN	ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multidrug resistance protein) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2)	ABCC2 CMOAT CMOAT1 CMRP MRP2	Homo sapiens (Human)	1545
ENSG00000023839	A0A3B3IRU4	unreviewed	A0A3B3IRU4_HUMAN	ATP binding cassette subfamily C member 2	ABCC2	Homo sapiens (Human)	215
